IMG_ID,AUTHOR,LAT,LON,Prob_indoor,Prob_natural,Prob_urban,Top5classes,Faces,BW,DN,IMG_time,url,upload_time,photo_location_country,photo_location_city,passed,name,admin1,admin2,cc,S3_Label,S16_Label,S365_Label
221767834,36286682@N00,41.01313,28.983564,0.0005462136207157187,0.0016368704514491126,0.9978168005395958,,False,False,,1900-01-01,http://farm1.staticflickr.com/83/221767834_e6e75c50b6.jpg,,,,True,Eminoenue,,,TR,2.0,11.0,230.0
427277034,63378231@N00,41.008559999999996,28.971676000000002,0.015181617252821413,0.01981350036257368,0.9650049236653188,,False,False,,1900-01-01,http://farm1.staticflickr.com/156/427277034_0f5cbd8502.jpg,,,,True,Eminoenue,,,TR,2.0,11.0,109.0
2525081503,90518325@N00,41.019282000000004,28.987598,6.927658119867952e-07,6.3660992187797305e-06,0.999993010797354,,False,False,,1900-01-01,http://farm4.staticflickr.com/3282/2525081503_78cce2e598.jpg,,,,True,Eminoenue,,,TR,2.0,11.0,230.0
3148886654,10362153@N03,40.991236,29.016523,0.0005768149399099088,0.004422905058255822,0.9950003027024188,,False,False,,1900-01-01,http://farm4.staticflickr.com/3205/3148886654_5ebd6244da.jpg,,,,True,UEskuedar,,,TR,2.0,13.0,247.0
11893882063,66005664@N00,41.01032100000001,28.979165000000002,0.012777120811758635,0.004653844848746758,0.9825691812137052,,False,False,,1900-01-01,http://farm3.staticflickr.com/2894/11893882063_3a51a4d644.jpg,,,,True,Eminoenue,,,TR,2.0,15.0,319.0
4602013852,17878642@N00,41.036706,28.984701,0.006130338593969498,0.10822185423185716,0.885647776284312,,False,False,,1900-01-01,http://farm2.staticflickr.com/1360/4602013852_4c6d69c5c1.jpg,,,,True,Eminoenue,,,TR,2.0,12.0,273.0
171228841551924,mapillary,41.012940305861406,28.98420810699463,0.0,0.0,0.6589353159070015,"[109, 237, 227, 77, 91]",False,False,,2018-06-02 11:53:37,https://graph.mapillary.com/171228841551924?fields=thumb_1024_url,,,,True,Eminoenue,,,TR,,,
k19jNC_tTe0,sulemakaroglu,41.037460700000004,28.996718100000002,0.0,0.0,0.5834187939763069,"[230, 91, 237, 252, 200]",False,False,,1900-01-01,https://images.unsplash.com/photo-1577696427109-c01d7e4b396e,2019-12-30 09:02:30.990765,Türkiye,,True,Sisli,,,TR,,,
4117159177,63796164@N00,41.018959,28.972406,0.021267542887279944,0.10596389067197264,0.8727685368216669,,False,False,,1900-01-01,http://farm3.staticflickr.com/2789/4117159177_14f88e5ca0.jpg,,,,True,Eminoenue,,,TR,2.0,12.0,316.0
4Wfnhu25Ywg,smallz_visuals,41.0082376,28.9783589,0.0,0.10371590731665492,0.877069354057312,"[142, 359, 279, 62, 258]",False,False,,1900-01-01,https://images.unsplash.com/photo-1570914606640-a2614cc32984,2019-10-12 21:14:33.207283,Turkey,İstanbul,True,Eminoenue,,,TR,,,
520718629339394,mapillary,41.02723147623613,28.97167682647705,0.03758915141224861,0.0,0.8880003048107028,"[319, 47, 125, 11, 4]",False,False,,2018-10-12 08:49:03,https://graph.mapillary.com/520718629339394?fields=thumb_1024_url,,,,True,Eminoenue,,,TR,,,
Fnz4d_2TazI,alpduran,41.008238,28.978359,0.0463386345654726,0.0,0.5823333114385605,"[308, 216, 206, 43, 318]",False,False,,1900-01-01,https://images.unsplash.com/photo-1609318836657-42952a15516b,2020-12-30 09:06:42.945355,Turkey,İstanbul,True,Eminoenue,,,TR,,,
_-IRntu19KY,damlaozkan,41.037461,28.996717999999998,0.0,0.0,0.6379465050995351,"[181, 166, 213, 67, 245]",False,False,,1900-01-01,https://images.unsplash.com/photo-1601546992291-1c639768e6b2,2020-10-01 10:20:24.553897,Türkiye,,True,Sisli,,,TR,,,
2349897129,52261729@N00,41.020594,29.006695,0.08734354333563488,0.3129237087160277,0.5997327675268744,,False,False,,1900-01-01,http://farm4.staticflickr.com/3228/2349897129_7ef9bfb24e.jpg,,,,True,UEskuedar,,,TR,2.0,14.0,364.0
3584593477,14883238@N02,41.026972,28.974477,0.3160633623651705,0.0014011971472633884,0.6825353594230776,,False,False,,1900-01-01,http://farm4.staticflickr.com/3609/3584593477_58625ff78f.jpg,,,,True,Eminoenue,,,TR,2.0,15.0,332.0
8340938265,70901325@N07,41.048288,28.981933,9.353739554407436e-06,0.00015275973781947452,0.9998378998990358,,False,False,,1900-01-01,http://farm9.staticflickr.com/8220/8340938265_9586e476b8.jpg,,,,True,Sisli,,,TR,2.0,11.0,230.0
St8uzEZ8kYU,mustph,41.0117968,28.9754277,0.0,0.0,0.7744618877768517,"[256, 8, 67, 181, 245]",False,False,,1900-01-01,https://images.unsplash.com/photo-1616967652865-327436609979,2021-03-28 21:41:04.645051,Türkiye,İstanbul,True,Eminoenue,,,TR,,,
2960342737580658,mapillary,41.03378713521863,28.97430539131165,0.0,0.08954432606697083,0.696128323674202,"[256, 125, 319, 175, 112]",False,False,,2019-07-04 04:14:59,https://graph.mapillary.com/2960342737580658?fields=thumb_1024_url,,,,True,Eminoenue,,,TR,,,
